study_id,field,author,ayza,consensus,rule
C19,iac_languages,not_specified,"Terraform, Ansible, K8s_YAML, Helm","not_specified, Ansible, Helm, K8s_YAML, Terraform",union (both partially complete)
C19,artifact_granularity,not_specified,full_stack,not_specified,author (full-text extraction reference)
C19,closed_vs_open,not_specified,both,not_specified,author (full-text extraction reference)
C19,security_tested,not_specified,no,not_specified,author (full-text extraction reference)
C19,security_scanner,not_specified,none,"not_specified, none",union (both partially complete)
C19,reproducibility_level,not_specified,none,not_specified,author (full-text extraction reference)
C19,rigor_clarity,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C19,rigor_dataset,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
C19,rigor_reproducibility,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
C19,rigor_evaluation,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
C19,rigor_code_data,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
C29,artifact_granularity,single_resource,not_specified,single_resource,author (full-text extraction reference)
C29,closed_vs_open,both,closed_api,both,author (full-text extraction reference)
C29,prompting_method,zero-shot,structured,zero-shot,author (full-text extraction reference)
C29,failure_categories,semantic,not_reported,"semantic, not_reported",union (both partially complete)
C29,single_vs_multi_file,single_file,not_specified,single_file,author (full-text extraction reference)
C29,synthetic_vs_realworld,realworld,mixed,realworld,author (full-text extraction reference)
C29,rigor_dataset,0.5,1,0.5,"author (anchored rubric; subjective score, author full-text read)"
C29,rigor_code_data,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
C29,rigor_validity,0.5,0,0.5,"author (anchored rubric; subjective score, author full-text read)"
