study_id,authors,year,title,venue,venue_type,doi,problem_type,iac_languages,cloud_providers,artifact_granularity,primary_technique,model_types,model_versions,num_models_tested,closed_vs_open,prompting_method,finetuning_used,finetuning_dataset_size,finetuning_technique,rag_knowledge_injection,knowledge_source,multi_agent_verifier,agent_architecture,tool_use_external_verifier,dataset_benchmark,dataset_size,evaluation_metrics,deployability_tested,security_tested,security_scanner,failure_categories,reproducibility_level,single_vs_multi_file,synthetic_vs_realworld,provider_docs_used,module_reuse_state,org_policy_context,key_findings,threats_limitations,rigor_clarity,rigor_dataset,rigor_reproducibility,rigor_evaluation,rigor_code_data,rigor_validity,rigor_total,validation_security,validation_deployment,validation_total,notes
C13,War et al.,2025,Security Smells in IaC Scripts: A Taxonomy,arXiv,arxiv,10.48550/arXiv.2509.18761,validation,"Ansible, Terraform, Chef, Puppet, Pulumi, SaltStack, Vagrant",cloud-agnostic,not_specified,prompting,"GPT-3.5-turbo, GPT-4o",specific versions,2,closed_api,mixed,no,N/A,N/A,no,N/A,no,N/A,"yes - Terrascan, Rubocop, ESLint, Salt-Lint",custom,1094 code snippets,"top-10 security smells, detection accuracy",not_tested,yes,"Terrascan, custom linters","security_governance, llm_reasoning",partial,single_file,realworld,no,absent,absent,LLM-assisted security smell detection across 7 IaC tools. Extended taxonomy from previous studies. Human validation at each stage.,yes,1,1,0.5,1,0.5,0.5,4.5,1,0,1,Covers broadest range of IaC tools (7). Security-focused. Uses LLM as analysis assistant with human validation.
C14,Yang et al.,2025,Cloud Infrastructure Management in the Age of AI Agents,arXiv,arxiv,10.48550/arXiv.2506.12270,generation,"Terraform, Azure CLI, Azure SDK",Azure,not_specified,prompting,not_specified,not_reported,not_specified,not_specified,zero-shot,no,N/A,N/A,no,N/A,yes,"SDK agent, CLI agent, IaC agent, Web portal agent",no,custom,not_specified,not_specified,not_tested,no,none,not_reported,partial,not_specified,not_specified,no,absent,absent,AI agents using 4 interfaces (SDK/CLI/IaC/Web) for cloud management. Compares Terraform agent vs other approaches. Preliminary study.,yes,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,0,Preliminary study. Tests Terraform as one of 4 agent interfaces. Azure-focused (rare).
C15,Diaz-de-Arcaya et al.,2024,Towards self-healing of IaC projects using constrained LLM,ICSE 2024,conference,not_specified,repair,not_specified,not_specified,not_specified,prompting,not_specified,not_reported,not_specified,not_specified,not_specified,no,N/A,N/A,no,N/A,no,N/A,not_specified,custom,not_specified,not_specified,not_tested,no,none,"syntactic, semantic",not_specified,not_specified,not_specified,no,absent,absent,Constrained LLM approach for IaC self-healing/repair. ICSE peer-reviewed.,not_specified,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,0,Need full-text. ICSE is top SE venue. Constrained generation approach.
C16,Councilman et al.,2025,Towards Formal Verification of LLM-Generated Code from NL Prompts,arXiv,arxiv,10.48550/arXiv.2507.13290,validation,Ansible,cloud-agnostic,not_specified,prompting,not_specified,not_reported,not_specified,not_specified,not_specified,no,N/A,N/A,no,N/A,no,N/A,yes - formal verification,custom,not_specified,formal_verification,not_tested,no,none,not_reported,partial,not_specified,not_specified,no,absent,absent,Formal verification of LLM-generated Ansible code. Novel approach: verify correctness rather than just test. Notes BLEU/CodeBERTScore inadequate for IaC.,yes,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,0,Ansible-focused. Formal methods approach.
C17,"Pujar, Buratti, Guo, Dupuis, Lewis, Suneja, Sood, Nalawade, Jones, Morari, Puri",2023,Automated Code Generation for IT Tasks in YAML through LLMs,DAC 2023,conference,10.1109/DAC56929.2023.10247987,generation,Ansible,cloud-agnostic,not_specified,finetuning,"Ansible Wisdom (custom), Codex-Davinci-002, GPT-3.5",not_reported,3,both,few-shot,yes,Ansible Galaxy + BigQuery,SFT,no,N/A,no,N/A,no,custom Ansible benchmark,not_specified,"BLEU, functional_equivalency, custom Ansible metrics",not_tested,no,none,"syntactic, semantic",partial,single_file,mixed,no,absent,absent,Ansible Wisdom BLEU: 66.67 outperforms Codex-Davinci-002 BLEU: 50.4 (few-shot). 56.81% functional equivalency. IBM Research.,yes,1,1,0.5,1,0.5,0.5,4.5,0,0,0,IBM Research. First Ansible-specific LLM fine-tuning. Custom metrics for YAML/Ansible.
C18,"Pahl, Barzegar, El Ioini",2026,Artificial Intelligence for Infrastructure-as-Code: A Systematic Literature Review,Electronics (MDPI),journal,10.3390/electronics15040755,mixed,"Chef, Puppet, Ansible, Pulumi, Heat, DOML, Terraform, TOSCA, CloudFormation",multi-cloud,not_specified,survey,N/A,N/A,0,N/A,N/A,no,N/A,N/A,no,N/A,no,N/A,no,N/A,44 studies (34 tech + 11 reviews),N/A,not_tested,no,none,not_reported,partial,not_specified,not_specified,no,absent,absent,"Competing SLR. 44 studies (2020-2025). Broad AI scope (not LLM-specific). Maps to 4-phase DevOps lifecycle. 22 SE papers, 5 AI, 3 networks, 2 security. Published in MDPI Electronics.",yes,1,0.5,0.5,0.5,0.5,0.5,3.5,0,0,0,Competing review. MDPI Q2 venue. Broad AI scope dilutes LLM analysis. Cutoff Oct 2025 misses 2026 papers. No quality assessment rubric. No security cross-cutting analysis. Must cite and differentiate.
C19,"Esposito, Robredo, Bakhtin, et al.",2026,Generative AI as an infrastructure copilot: automating IaC across the DevSecOps lifecycle,Automated Software Engineering (Springer),journal,10.1007/s10515-026-00600-5,generation,not_specified,not_specified,not_specified,prompting,not_specified,not_reported,not_specified,not_specified,not_specified,no,N/A,N/A,no,N/A,no,N/A,not_specified,not_specified,not_specified,not_specified,not_tested,not_specified,not_specified,not_reported,not_specified,not_specified,not_specified,no,absent,absent,"Journal article on gen AI as IaC copilot across DevSecOps lifecycle. Published in ASE (Springer, Q1).",not_specified,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,0,Need full-text. Published in top SE journal. DevSecOps focus may have security content.
C20,Romeo et al.,2026,ARPaCCino: An Agentic-RAG for Policy as Code Compliance,CCIS (Springer),conference,10.1007/978-3-032-05727-3_39,validation,not_specified,not_specified,not_specified,rag,not_specified,not_reported,not_specified,not_specified,retrieval-augmented,no,N/A,N/A,yes,not_specified,yes,agentic RAG,not_specified,custom,not_specified,not_specified,not_tested,yes,not_specified,security_governance,not_specified,not_specified,not_specified,no,absent,present,Agentic RAG for policy-as-code compliance checking. Directly relevant to security/compliance lens.,not_specified,0.5,0.5,0.5,0.5,0.5,0.5,3,0.5,0,0.5,Need full-text. Policy compliance is directly relevant to RQ5.
C21,Beuter et al.,2026,Prompt-Driven Container Orchestration,CCIS (Springer),conference,10.1007/978-3-032-17286-0_4,generation,K8s_YAML,not_specified,not_specified,prompting,not_specified,not_reported,not_specified,not_specified,not_specified,no,N/A,N/A,no,N/A,no,N/A,not_specified,custom,not_specified,not_specified,not_tested,no,none,not_reported,not_specified,not_specified,not_specified,no,absent,absent,Prompt-driven container orchestration. Tentatively included for K8s manifest generation scope.,not_specified,0.5,0.5,0.5,0.5,0.5,0.5,3,0,0,0,Tentative inclusion. Need full-text to confirm K8s manifest generation vs runtime orchestration.
C22,"Hassan, Salvador, Rahman, Karmaker",2025,Large Language Models for IT Automation Tasks: Are We There Yet?,arXiv,arxiv,10.48550/arXiv.2505.20505,generation,Ansible,not_specified,single_resource,benchmark_only,14 open-source LLMs,not_reported,14,open_weight,zero-shot,no,N/A,N/A,no,N/A,no,N/A,yes - real Ansible execution,ITAB,126 tasks,"pass@10, state_reconciliation_success, module_knowledge_accuracy",full_deployment,no,none,"state_reconciliation (44.87%), module_specific_knowledge (24.37%)",full,single_file,realworld,no,state,absent,"126-task Ansible state-reconciliation benchmark. 14 open-source LLMs; none exceed 12% pass@10. State reconciliation errors account for 44.87% of 1,411 execution failures; module-specific knowledge deficiencies 24.37%. First benchmark to evaluate state reconciliation as a first-class property.",yes,1,1,1,1,1,0.5,5.5,0,1,1,Hassan/Rahman group at Auburn. Akond Rahman is established IaC security researcher (rahman2021securitysmells). Only benchmark targeting state reconciliation. 14 LLMs tested; specific model names need full-text read.
C23,"Xu, Chen, Zhang, Lin, Hu, Ma, Lu, Du, Mao, Zhai, Cai",2023,CloudEval-YAML: A Practical Benchmark for Cloud Configuration Generation,arXiv,arxiv,10.48550/arXiv.2401.06786,generation,"K8s_YAML, Helm",not_specified,single_resource,benchmark_only,12 LLMs (specific names not detailed),not_reported,12,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,yes - custom YAML execution platform,CloudEval-YAML,1011 problems,"pass@1, semantic equivalence",full_deployment,no,none,"syntactic, semantic",full,single_file,realworld,no,absent,absent,"First large-scale NL-to-K8s-YAML benchmark. 1,011 problems requiring 1,200+ human hours to construct. 12 LLMs evaluated. Custom evaluation platform with 20x speedup over single-machine baseline. Upstream of every later K8s-LLM benchmark.",yes,1,1,1,1,1,0.5,5.5,0,1,1,Critical K8s benchmark. arXiv submitted Nov 10 2023. Cited elsewhere as MLSys 2024 but unconfirmed via arXiv page; treat as preprint until verified.
C24,"Malul, Meidan, Mimran, Elovici, Shabtai",2024,GenKubeSec: LLM-Based Kubernetes Misconfiguration Detection Localization Reasoning and Remediation,arXiv (cs.CR),arxiv,10.48550/arXiv.2405.19954,"validation, repair",K8s_YAML,not_specified,single_resource,prompting,not_specified,not_reported,not_specified,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,"yes - KubeLinter, Checkov, Datree comparison",custom,not_specified,"precision, recall, F1, expert review",not_tested,yes,"KubeLinter, Checkov, Datree","security_governance, semantic",partial,single_file,realworld,no,absent,absent,Precision 0.990 and recall 0.999 outperforming 3 industry-standard rule-based tools (KubeLinter/Checkov/Datree). Expert review confirms 100% correct LLM-generated explanations. Localization + remediation pipeline.,yes,1,1,0.5,1,0.5,0.5,4.5,1,0,1,Ben-Gurion University group (same authors as KubeGuard C25). Strong precision-recall benchmark vs industry tools.
C25,"Sgan Cohen, Malul, Meidan, Mimran, Elovici, Shabtai",2025,KubeGuard: LLM-Assisted Kubernetes Hardening via Configuration Files and Runtime Logs Analysis,arXiv (cs.CR),arxiv,10.48550/arXiv.2509.04191,repair,K8s_YAML,not_specified,multi_resource,prompting,proprietary and open-source LLMs,not_reported,not_specified,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,yes - runtime log analysis,custom,not_specified,"precision, recall, F1",not_tested,yes,custom,security_governance,partial,multi_file,realworld,no,absent,absent,"Two-task framework: Resource Creation and Resource Refinement. Generates least-privilege K8s configs (Roles, NetworkPolicies, Deployments) by jointly analyzing manifests and runtime logs.",yes,1,0.5,0.5,0.5,0.5,0.5,3.5,1,0,1,Same Ben-Gurion group as GenKubeSec (C24). Hardening focus complements GenKubeSec detection focus.
C26,"Ye, Le, Babar",2025,LLMSecConfig: An LLM-Based Approach for Fixing Software Container Misconfigurations,arXiv,arxiv,10.48550/arXiv.2502.02009,repair,K8s_YAML,not_specified,single_resource,rag,not_specified,not_reported,not_specified,both,"zero-shot, retrieval-augmented",no,N/A,N/A,yes,static analysis tool outputs as RAG context,no,N/A,yes - SAT integration,custom,1000 real K8s configs,"fix success rate, regression rate",not_tested,yes,Static Analysis Tools,"security_governance, semantic",partial,single_file,realworld,yes,absent,absent,94% success rate fixing container misconfigurations while maintaining low rate of introducing new misconfigurations. RAG-augmented prompting on outputs of Static Analysis Tools.,yes,1,1,0.5,1,0.5,0.5,4.5,1,0,1,M. Ali Babar is co-author (same author as Zhang-Babar-Tell 2011 QGS reference). Literature-scout incorrectly listed authors as Ye/Mancoridis/Bhatt; correct list is Ye/Le/Babar. Literature-scout claimed ICSE 2025 Companion venue but arXiv page does not confirm peer-review status; treat as preprint.
C27,"Minna, Massacci, Tuma",2025,Analyzing and Mitigating (with LLMs) the Security Misconfigurations of Helm Charts from Artifact Hub,Empirical Software Engineering (Springer),journal,10.1007/s10664-025-10688-0,"validation, repair",Helm,not_specified,multi_resource,prompting,multiple LLMs,not_reported,5+,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,"yes - Checkov, KICS",Artifact Hub Helm chart mining,not_specified,"misconfiguration detection rate, LLM remediation success",not_tested,yes,"Checkov, KICS","security_governance, semantic",full,multi_file,realworld,no,absent,absent,Mines Helm charts from Artifact Hub; analyzes with Checkov + KICS; uses multiple LLMs for mitigation. Extension of MSR 2024 registered report with more LLMs and final results. Cross-tool unique-vs-common misconfig analysis.,yes,1,1,1,1,1,1,6,1,0,1,Published in Empirical Software Engineering 2025, Vol 30 Issue 5 Article 101. Authors include Fabio Massacci. Uses 2 of the 5 scanners in this study (Checkov + KICS), giving direct methodological adjacency.
C28,"Namrud, Litoiu, Shwartz",2024,KubePlaybook: A Repository of Ansible Playbooks for Kubernetes Auto-Remediation with LLMs,ICPE 2024 Companion,conference,10.1145/3629527.3653665,"generation, repair","Ansible, K8s_YAML",not_specified,single_resource,prompting,not_specified,not_reported,not_specified,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,yes - kubectl shell + real-time fault scenarios,KubePlaybook,130 Ansible playbooks,manual accuracy,partial,no,none,"semantic, semantic",partial,single_file,realworld,no,absent,absent,130 Ansible playbooks paired with NL prompts for K8s auto-remediation. After rigorous manual testing achieves 98.86% accuracy. Foundation dataset cited by FSE 2024 microservice auto-remediation work.,yes,1,1,0.5,1,0.5,0.5,4.5,0.5,0,0.5,IBM Research T.J. Watson + York University collaboration. ICPE 2024 Companion peer-reviewed (literature-scout incorrectly listed venue as SEAMS 2024; corrected to ICPE 2024).
C29,"Vo, et al.",2025,Harnessing the Power of LLMs for Code Smell Detection in Terraform Infrastructure as Code,IEEE COMPSAC 2025,conference,10.1109/COMPSAC65538.2025.00067,validation,Terraform,not_specified,single_resource,prompting,not_specified,not_reported,not_specified,both,zero-shot,no,N/A,N/A,no,N/A,no,N/A,yes - vs static analysis baselines,custom,not_specified,"detection precision, recall, breadth of smells",not_tested,no,none,semantic,partial,single_file,realworld,no,absent,absent,LLMs significantly outperform static analysis tools on Terraform code smell detection. Detects a broader range of smells beyond rule-based heuristics.,yes,1,0.5,0.5,1,0.5,0.5,4,0,0,0,"Peer-reviewed IEEE COMPSAC 2025 (July 8 2025, pages 533-542). Full author list needs verification beyond Quoc-Huy Vo."
C30,"Angi, Nedoshivina, Sacco, Braghin, Purcell",2025,A Perspective on LLM Data Generation with Few-shot Examples: From Intent to Kubernetes Manifest,ACL 2025 (Industry Track),conference,not_specified,generation,K8s_YAML,not_specified,single_resource,prompting,"Llama3-8B, Llama3-70B, Mixtral-8x7B, Prometheus-8x7B-v2.0",specific versions,4,both,few-shot,no,N/A,N/A,no,N/A,no,N/A,no,custom n-shot eval,not_specified,"valid manifest rate, n-shot effect",not_tested,no,none,semantic,partial,single_file,realworld,no,absent,absent,"NL intent to K8s manifest via n-shot LLM generation. Specialized models (Mixtral, Prometheus) improve with more shots; general models (Llama3) can degrade with more shots. Industry-track paper at ACL 2025.",yes,1,0.5,0.5,1,0.5,0.5,4,0,0,0,Peer-reviewed at ACL 2025 Industry Track (Vienna). IBM Research + Politecnico di Torino collaboration.
C31,"Shao, Liu, Han, Gao, Liu, Liao",2025,IntelliTopo: An IaC Generation Service for Industrial Network Topology Construction,ASE 2025 (Industry Showcase),conference,not_specified,generation,not_specified,not_specified,multi_resource,"prompting, rag",not_specified,not_reported,not_specified,both,zero-shot,no,N/A,N/A,yes,domain-aware image retrieval,no,N/A,yes - semantic topology parsing,custom,50+ network simulation tasks,deployment time / coverage,full_deployment,no,none,semantic,partial,multi_file,realworld,yes,absent,present,First IaC generation framework targeted at industrial network topology construction. Enhances LLMs via semantic topology parsing + domain-aware image retrieval. Deployed on PaaS for 3 months across 10+ industries; reduced deployment time from days to hours.,yes,1,0.5,0.5,1,0.5,0.5,4,0,1,1,"Peer-reviewed at ASE 2025 Industry Showcase (Seoul, Nov 2025). Harbin Inst of Tech + PengCheng Lab. Narrow IaC scope (industrial network topology DSL) but LLM-central + multi-resource + production deployment."
